Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,nombre_entrada,grupo
Molecule 1,O=CC(C(C(C(CO)O)O)O)NC(=O)C,C8H15NO6,221.21,15,0,0.75,7,6.0,5.0,48.42,127.09,n/d,-1.72,-3.23,-2.73,-1.4,-2.27,0.33,477.0,2.16,Highly soluble,-0.44,81.2,0.367,Very soluble,1.48,6620.0,29.9,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-8.87,0.0,1.0,0.0,0.0,0.0,0.55,0.0,1.0,1.0,3.14,L-Lactic acid,monomeros_degradacion
Molecule 2,NCCN,C2H8N2,60.1,4,0,1.0,1,2.0,2.0,17.14,52.04,n/d,-2.04,-1.1,-1.15,-1.11,-1.35,1.14,827.0,13.8,Highly soluble,1.47,1790.0,29.7,Highly soluble,0.2,95.9,1.6,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.11,0.0,4.0,0.0,0.0,3.0,0.55,0.0,0.0,1.0,1.0,D-Lactic acid,monomeros_degradacion
Molecule 3,COC(=O)C=C,C4H6O2,86.09,6,0,0.25,2,2.0,0.0,22.15,26.3,n/d,0.8,0.35,0.38,0.27,0.45,-0.75,15.5,0.18,Very soluble,-0.93,10.0,0.117,Very soluble,-0.3,43.4,0.505,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.26,0.0,3.0,0.0,0.0,2.0,0.55,0.0,1.0,1.0,1.22,Glycolic acid,monomeros_degradacion
Molecule 4,CC1OC(=O)C(OC1=O)C,C6H8O4,144.13,10,0,0.67,0,4.0,0.0,31.41,52.6,n/d,0.64,-0.14,-0.15,0.7,0.26,-1.14,10.5,0.073,Very soluble,-1.32,6.9,0.0479,Very soluble,-0.54,41.8,0.29,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.72,0.0,3.0,0.0,0.0,1.0,0.55,0.0,1.0,1.0,2.68,Succinic acid,monomeros_degradacion
Molecule 5,O=C1OCC(=O)OC1,C4H4O4,116.07,8,0,0.5,0,4.0,0.0,21.8,52.6,n/d,-0.16,-0.91,-0.93,0.82,-0.3,-0.46,40.4,0.348,Very soluble,-0.49,37.6,0.324,Very soluble,-0.19,74.4,0.641,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.12,0.0,4.0,0.0,0.0,2.0,0.55,0.0,1.0,1.0,1.81,Glutaric acid,monomeros_degradacion
Molecule 6,NCCNCCN,C4H13N3,103.17,7,0,1.0,4,3.0,3.0,29.56,64.07,n/d,-2.08,-1.51,-1.06,-1.12,-1.44,1.09,1280.0,12.4,Highly soluble,1.26,1880.0,18.3,Highly soluble,-0.76,18.0,0.174,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.41,0.0,3.0,0.0,0.0,3.0,0.55,0.0,0.0,1.0,1.0,Adipic acid,monomeros_degradacion
Molecule 7,NCCNCCNCCN,C6H18N4,146.23,10,0,1.0,7,4.0,4.0,41.97,76.1,n/d,-2.51,-1.92,-1.13,-1.05,-1.65,1.3,2900.0,19.8,Highly soluble,1.46,4170.0,28.5,Highly soluble,-1.67,3.1,0.0212,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.97,0.0,2.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.43,6-Hydroxyhexanoic acid,monomeros_degradacion
Molecule 8,NCCNCCNCCNCCN,C8H23N5,189.3,13,0,1.0,10,5.0,5.0,54.39,88.13,n/d,-2.94,-2.33,-1.27,-0.94,-1.87,1.5,5970.0,31.5,Highly soluble,1.65,8430.0,44.6,Highly soluble,-2.56,0.524,0.00277,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-9.54,0.0,1.0,0.0,0.0,2.0,0.55,0.0,0.0,2.0,1.7,6-Hydroxycaproic acid,monomeros_degradacion
Molecule 9,NCCNCCNCCNCCNCCN,C10H28N6,232.37,16,0,1.0,13,6.0,6.0,66.81,100.16,n/d,-3.37,-2.74,-1.46,-0.83,-2.1,1.7,11700.0,50.2,Highly soluble,1.84,16200.0,69.6,Highly soluble,-3.42,0.0873,0.000376,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-10.11,1.0,1.0,1.0,0.0,2.0,0.55,0.0,0.0,2.0,1.98,epsilon-Caprolactone,monomeros_degradacion
Molecule 10,NCCN(CCN)CCN,C6H18N4,146.23,10,0,1.0,6,4.0,3.0,41.97,81.3,n/d,-2.56,-1.84,-1.13,-1.56,-1.77,1.26,2670.0,18.3,Highly soluble,1.4,3660.0,25.0,Highly soluble,-0.55,41.5,0.284,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-9.01,0.0,2.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.2,Glucosamine,monomeros_degradacion
Molecule 1,NCCNCCNCCN,C6H18N4,146.23,10,0,1.0,7,4.0,4.0,41.97,76.1,n/d,-2.51,-1.92,-1.13,-1.05,-1.65,1.3,2900.0,19.8,Highly soluble,1.46,4170.0,28.5,Highly soluble,-1.67,3.1,0.0212,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.97,0.0,2.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.43,N-Acetylglucosamine,monomeros_degradacion
Molecule 2,CN,CH5N,31.06,2,0,1.0,0,1.0,1.0,9.63,26.02,n/d,-0.71,-0.43,-0.87,-0.73,-0.68,0.41,80.7,2.6,Highly soluble,0.64,135.0,4.36,Highly soluble,0.39,76.6,2.47,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-6.99,0.0,4.0,0.0,0.0,3.0,0.55,0.0,0.0,1.0,1.0,Ethylenediamine,monomeros_degradacion
Molecule 3,N,H3N,17.03,1,0,1.0,0,1.0,1.0,4.73,3.24,n/d,-0.71,-0.43,-0.87,-0.73,-0.68,0.41,80.7,2.6,Highly soluble,0.64,135.0,4.36,Highly soluble,0.39,76.6,2.47,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-6.99,0.0,4.0,0.0,0.0,3.0,0.55,0.0,0.0,1.0,1.0,Methyl acrylate,monomeros_degradacion
Molecule 4,NCCO,C2H7NO,61.08,4,0,1.0,1,2.0,2.0,15.6,46.25,n/d,-1.31,-1.06,-1.15,-0.88,-1.1,0.67,287.0,4.71,Highly soluble,0.84,420.0,6.87,Highly soluble,0.42,159.0,2.61,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.6,0.0,4.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.0,L-Lactide,monomeros_degradacion
Molecule 5,NCCOCCO,C4H11NO2,105.14,7,0,1.0,4,3.0,2.0,26.3,55.48,n/d,-1.55,-1.05,-1.06,-0.57,-1.06,0.75,589.0,5.61,Highly soluble,0.89,820.0,7.8,Highly soluble,-0.23,61.2,0.582,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.04,0.0,4.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.65,Glycolide,monomeros_degradacion
Molecule 6,NCCOCCN,C4H12N2O,104.15,7,0,1.0,4,3.0,2.0,27.84,61.27,n/d,-1.8,-1.08,-1.06,-0.81,-1.19,0.91,851.0,8.17,Highly soluble,1.03,1120.0,10.7,Highly soluble,-0.45,37.0,0.355,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.21,0.0,4.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.22,Diethylenetriamine,oligomeros_unidades
Molecule 7,COC(=O)CCN,C4H9NO2,103.12,7,0,0.75,3,3.0,1.0,25.33,52.32,n/d,-0.89,-0.49,-0.39,-0.41,-0.55,0.28,196.0,1.9,Highly soluble,0.27,194.0,1.88,Highly soluble,-0.33,47.9,0.465,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.56,0.0,4.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.0,Triethylenetetramine,oligomeros_unidades
Molecule 8,CCOC(=O)C=C,C5H8O2,100.12,7,0,0.4,3,2.0,0.0,26.96,26.3,n/d,1.32,0.74,0.79,0.66,0.88,-1.09,8.06,0.0805,Very soluble,-1.47,3.37,0.0336,Very soluble,-0.73,18.7,0.187,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.97,0.0,3.0,0.0,0.0,1.0,0.55,0.0,1.0,1.0,1.25,Tetraethylenepentamine,oligomeros_unidades
Molecule 9,COC(=O)C(=C)C,C5H8O2,100.12,7,0,0.4,2,2.0,0.0,26.96,26.3,n/d,1.38,0.74,0.79,0.51,0.85,-1.2,6.34,0.0634,Very soluble,-1.54,2.92,0.0291,Very soluble,-0.71,19.5,0.195,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.93,0.0,3.0,0.0,0.0,1.0,0.55,0.0,1.0,1.0,1.12,Pentaethylenehexamine,oligomeros_unidades
Molecule 10,OC(=O)C=C,C3H4O2,72.06,5,0,0.0,1,2.0,1.0,17.83,37.3,n/d,0.35,0.26,-0.08,-0.23,0.08,-0.44,26.1,0.362,Very soluble,-0.7,14.5,0.201,Very soluble,0.44,198.0,2.75,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.49,0.0,3.0,0.0,0.0,2.0,0.85,0.0,1.0,1.0,1.07,Tris(2-aminoethyl)amine,oligomeros_unidades
Molecule 1,OC(=O)C(OC(=O)C(O)C)C,C6H10O5,162.14,11,0,0.67,4,5.0,2.0,35.17,83.83,n/d,-0.14,-0.62,-0.58,-0.61,-0.49,-0.49,52.1,0.321,Very soluble,-1.17,11.1,0.0682,Very soluble,0.77,955.0,5.89,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.39,0.0,2.0,0.0,0.0,1.0,0.56,0.0,0.0,1.0,2.6,"N,N'-Bis(2-aminoethyl)ethylenediamine",oligomeros_unidades
Molecule 2,O=C(C(OC(=O)C(O)C)C)OC(C(=O)O)C,C9H14O7,234.2,16,0,0.67,7,7.0,2.0,50.88,110.13,n/d,0.18,-0.68,-0.48,-0.37,-0.34,-0.94,26.7,0.114,Very soluble,-2.05,2.08,0.0089,Soluble,0.63,994.0,4.25,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.6,0.0,1.0,0.0,0.0,0.0,0.56,0.0,1.0,1.0,3.21,Methylamine,oligomeros_unidades
Molecule 3,OC(=O)COCC(=O)O,C4H6O5,134.09,9,0,0.5,4,5.0,2.0,25.97,83.83,n/d,-0.73,-0.83,-1.37,-0.94,-0.97,0.05,151.0,1.13,Highly soluble,-0.55,37.4,0.279,Very soluble,0.85,960.0,7.16,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.64,0.0,4.0,0.0,0.0,2.0,0.56,0.0,0.0,1.0,1.85,Ammonia,oligomeros_unidades
Molecule 4,OCC(C(C(C(C=O)N)O)OC1OC(CO)C(C(C1N)O)O)O,C12H24N2O9,340.33,23,0,0.92,8,11.0,8.0,72.44,208.95,n/d,-5.54,-5.62,-4.92,-3.76,-4.96,2.07,39800.0,117.0,Highly soluble,1.81,22000.0,64.5,Highly soluble,3.65,1520000.0,4480.0,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-12.31,2.0,1.0,1.0,1.0,4.0,0.17,0.0,1.0,1.0,5.18,2-Aminoethanol,oligomeros_unidades
Molecule 5,OCC(C(C(C(C=O)N)O)OC1OC(CO)C(C(C1N)O)OC1OC(CO)C(C(C1N)O)O)O,C18H35N3O13,501.48,34,0,0.94,11,16.0,11.0,106.37,293.89,n/d,-7.94,-7.83,-6.71,-5.95,-7.11,2.78,301000.0,601.0,Highly soluble,2.52,165000.0,328.0,Highly soluble,5.18,76800000.0,153000.0,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-15.0,3.0,2.0,2.0,1.0,4.0,0.17,0.0,1.0,2.0,6.33,2-(2-Aminoethoxy)ethanol,oligomeros_unidades
Molecule 6,OCC(=O)C1(O)CC(OC2CC(N)C(C(O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,C27H29NO11,543.52,39,12,0.44,5,12.0,6.0,132.66,206.07,n/d,1.27,-0.32,-2.1,1.17,0.01,-3.91,0.0672,0.000124,Soluble,-5.2,0.00346,6.36e-06,Moderately soluble,-3.46,0.187,0.000344,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-8.71,3.0,2.0,1.0,1.0,3.0,0.17,1.0,1.0,1.0,5.81,Bis(2-aminoethyl) ether,oligomeros_unidades
Molecule 7,CC(=O)OC1C(=O)C2(C)C(O)CC3C(C2C(C2(C(C1=C(C)C(OC(=O)C(C(c1ccccc1)NC(=O)c1ccccc1)O)C2)(C)C)O)OC(=O)c1ccccc1)(CO3)OC(=O)C,C47H51NO14,853.91,62,18,0.45,15,14.0,4.0,218.96,221.29,n/d,3.66,3.41,1.7,4.59,3.34,-6.66,0.000185,2.16e-07,Poorly soluble,-8.0,8.61e-06,1.01e-08,Poorly soluble,-8.8,1.34e-06,1.57e-09,Poorly soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-8.91,2.0,3.0,2.0,1.0,3.0,0.17,0.0,2.0,3.0,8.34,Methyl 3-aminopropionate,oligomeros_unidades
Molecule 8,Fc1c[nH]c(=O)[nH]c1=O,C4H3FN2O2,130.08,9,6,0.0,0,3.0,2.0,27.64,65.72,n/d,1.72,-0.38,-0.32,-1.02,-0.0,-2.22,0.778,0.00598,Soluble,-2.72,0.25,0.00192,Soluble,-0.86,17.8,0.137,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.87,0.0,3.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.52,Ethyl acrylate,oligomeros_unidades
Molecule 9,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C,C20H22N8O5,454.44,33,16,0.25,10,9.0,5.0,118.4,210.54,n/d,-1.85,0.13,-1.13,-0.66,-0.88,-1.19,29.3,0.0644,Very soluble,-2.05,4.02,0.00886,Soluble,-3.99,0.0467,0.000103,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-10.39,1.0,0.0,1.0,1.0,1.0,0.11,0.0,0.0,2.0,3.58,Methyl methacrylate,oligomeros_unidades
Molecule 10,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O6,368.38,27,12,0.14,8,6.0,2.0,102.8,93.06,n/d,3.2,3.15,1.47,4.04,2.97,-3.94,0.0422,0.000115,Soluble,-4.83,0.0055,1.49e-05,Moderately soluble,-4.45,0.0131,3.56e-05,Moderately soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.28,0.0,0.0,0.0,0.0,0.0,0.55,0.0,2.0,2.0,2.97,Acrylic acid,oligomeros_unidades
Molecule 1,Cl[Pt]Cl.N.N,Cl2H6N2Pt,300.05,5,0,,0,,,21.16,6.48,n/d,,,,,,,,,,,,,,,,,,,,,n/d,n/d,n/d,n/d,n/d,,,,,,,,,,,,Lactic acid dimer,oligomeros_unidades
Molecule 2,OCC1OC(C(C1O)(F)F)n1ccc(nc1=O)N,C9H11F2N3O4,263.2,18,6,0.56,2,7.0,3.0,54.83,110.6,n/d,0.19,-0.76,-1.2,-3.61,-1.35,-1.71,5.18,0.0197,Very soluble,-2.07,2.24,0.00849,Soluble,0.62,1090.0,4.13,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.77,0.0,1.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,3.71,Lactic acid trimer,oligomeros_unidades
Molecule 3,COC1CC(CCC1O)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,C51H79NO13,914.17,65,0,0.75,6,13.0,3.0,253.68,195.43,n/d,6.02,5.8,1.0,3.66,4.12,-8.9,1.14e-06,1.25e-09,Poorly soluble,-9.9,1.15e-07,1.25e-10,Poorly soluble,-5.58,0.00238,2.61e-06,Moderately soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.6,2.0,4.0,1.0,1.0,4.0,0.17,0.0,2.0,2.0,10.0,Diglycolic acid,oligomeros_unidades
Molecule 4,OCC(=O)C1(O)C(C)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F,C22H29FO5,392.46,28,0,0.73,2,6.0,3.0,101.96,94.83,n/d,1.94,2.32,1.62,2.58,2.12,-3.36,0.17,0.000433,Soluble,-3.56,0.109,0.000278,Soluble,-2.8,0.625,0.00159,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.32,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,1.0,5.47,Chitobiose,oligomeros_unidades
Molecule 5,CC(Cc1ccc(cc1)C(C(=O)O)C)C,C13H18O2,206.28,15,6,0.46,4,2.0,1.0,62.18,37.3,n/d,3.5,3.07,3.13,3.15,3.21,-3.36,0.0909,0.000441,Soluble,-3.97,0.0223,0.000108,Soluble,-3.44,0.0749,0.000363,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.07,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,1.0,1.92,Chitotriose,oligomeros_unidades
Molecule 6,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(=O)[nH]c(n2)N,C19H19N7O6,441.4,32,16,0.21,10,9.0,6.0,111.92,213.28,n/d,0.46,-0.38,-0.62,-0.6,-0.28,-2.58,1.17,0.00265,Soluble,-4.51,0.0137,3.11e-05,Moderately soluble,-4.28,0.023,5.21e-05,Moderately soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-8.67,2.0,0.0,1.0,1.0,2.0,0.11,0.0,0.0,2.0,3.43,Doxorubicin,farmacos_modelo
Molecule 7,OC(=O)CCCCC1SCC2C1NC(=O)N2,C10H16N2O3S,244.31,16,0,0.8,5,3.0,3.0,69.34,103.73,n/d,0.33,0.04,0.74,0.66,0.44,-1.23,14.3,0.0585,Very soluble,-2.07,2.07,0.00847,Soluble,-1.67,5.2,0.0213,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.56,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,1.0,3.38,Paclitaxel,farmacos_modelo
Molecule 8,OCC1OC(O)C(C(C1O)O)O,C6H12O6,180.16,12,0,1.0,1,6.0,5.0,35.74,110.38,n/d,-3.24,-3.22,-2.75,-2.3,-2.88,1.15,2550.0,14.1,Highly soluble,1.49,5610.0,31.1,Highly soluble,2.62,74200.0,412.0,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-9.7,0.0,2.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,4.08,5-Fluorouracil,farmacos_modelo
Molecule 9,OCC1OC(O)C(C(C1O)O)O,C6H12O6,180.16,12,0,1.0,1,6.0,5.0,35.74,110.38,n/d,-3.24,-3.22,-2.75,-2.3,-2.88,1.15,2550.0,14.1,Highly soluble,1.49,5610.0,31.1,Highly soluble,2.62,74200.0,412.0,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-9.7,0.0,2.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,4.08,Methotrexate,farmacos_modelo
