Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC1OC(C(=O)O)C(C(C1O)O)O,C6H10O7,194.14,13,0,0.83,1,7,5,36.35,127.45,n/d,-2.34,-3.13,-2.89,-2.72,-2.77,0.50,6.09e+02,3.14e+00,Highly soluble,0.20,3.08e+02,1.59e+00,Highly soluble,3.07,2.26e+05,1.16e+03,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-9.15,0,2,0,0,2,0.56,0,0,1,3.94
Molecule 2,OC1OC(COS(=O)(=O)O)C(C(C1N)O)O,C6H13NO8S,259.23,16,0,1.00,3,9,5,47.74,167.92,n/d,-6.06,-2.35,-3.34,-3.95,-3.93,2.57,9.60e+04,3.70e+02,Highly soluble,3.21,4.21e+05,1.63e+03,Highly soluble,2.73,1.39e+05,5.35e+02,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-12.18,0,1,1,1,2,0.55,0,1,0,4.44
Molecule 3,OCC1OC(O)C(C(C1OS(=O)(=O)[O-])OC1OC(C(=O)O)C(C(C1OS(=O)(=O)[O-])O)O)NC(=O)C,C14H21NO18S2--,555.44,35,0,0.86,10,18,6,97.40,324.63,n/d,-5.26,-4.03,-5.05,-7.66,-5.50,0.69,2.72e+03,4.90e+00,Highly soluble,-0.91,6.83e+01,1.23e-01,Very soluble,4.62,2.34e+07,4.22e+04,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-13.42,3,2,1,1,4,0.11,0,2,2,5.61
Molecule 4,O=C(NC(C(=O)O)CC(=O)O)CNC(=O)C(CCCN=C(N)N)N,C12H22N6O6,346.34,24,0,0.58,13,8,7,81.15,223.22,n/d,-5.97,-3.47,-2.41,-2.44,-3.57,2.63,1.48e+05,4.28e+02,Highly soluble,1.96,3.13e+04,9.04e+01,Highly soluble,0.27,6.45e+02,1.86e+00,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-12.65,2,1,2,1,3,0.17,0,2,1,3.59
Molecule 5,NC(=O)CC(C(=O)O)N,C4H8N2O3,132.12,9,0,0.50,3,4,3,28.73,106.41,n/d,-3.41,-1.73,-3.99,-1.73,-2.71,1.69,6.43e+03,4.87e+01,Highly soluble,1.75,7.48e+03,5.66e+01,Highly soluble,1.10,1.65e+03,1.25e+01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-9.53,0,4,0,0,3,0.55,0,0,1,1.72
Molecule 6,OC(=O)C(CCCN=C(N)N)N,C6H14N4O2,174.20,12,0,0.67,5,4,4,44.54,127.72,n/d,-4.19,-1.55,-3.21,-1.50,-2.61,2.05,1.95e+04,1.12e+02,Highly soluble,2.11,2.27e+04,1.30e+02,Highly soluble,0.47,5.14e+02,2.95e+00,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-10.34,0,1,0,0,2,0.55,0,2,1,2.47
Molecule 7,OC(=O)CC(C(=O)O)N,C4H7NO4,133.10,9,0,0.50,3,5,3,27.59,100.62,n/d,-3.89,-1.13,-3.59,-1.49,-2.52,1.98,1.28e+04,9.63e+01,Highly soluble,2.37,3.14e+04,2.36e+02,Highly soluble,1.31,2.73e+03,2.05e+01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-9.87,0,4,0,0,3,0.56,0,0,1,1.80
Molecule 8,OC(=O)c1ccc(cc1)N,C7H7NO2,137.14,10,6,0.00,1,2,2,37.81,63.32,n/d,0.83,0.98,-0.12,0.50,0.55,-1.59,3.52e+00,2.56e-02,Very soluble,-1.74,2.48e+00,1.81e-02,Very soluble,-1.38,5.69e+00,4.15e-02,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.55,0,3,0,0,1,0.85,0,1,1,1.00
Molecule 9,OCCNCCO,C4H11NO2,105.14,7,0,1.00,4,3,3,26.47,52.49,n/d,-1.43,-1.44,-1.06,-0.65,-1.14,0.67,4.95e+02,4.71e+00,Highly soluble,0.83,7.11e+02,6.77e+00,Highly soluble,-0.33,4.92e+01,4.68e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.96,0,4,0,0,2,0.55,0,0,1,1.00
Molecule 10,OCCOCCOCCO,C6H14O4,150.17,10,0,1.00,7,4,2,35.45,58.92,n/d,-1.59,-1.00,-1.13,0.07,-0.91,0.69,7.40e+02,4.93e+00,Highly soluble,0.86,1.09e+03,7.27e+00,Highly soluble,-0.62,3.59e+01,2.39e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.34,0,3,0,0,1,0.55,0,0,1,2.25
