Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC(=O)C(O)C,C3H6O3,90.08,6,0,0.67,1,3,2,19.47,57.53,n/d,-0.72,-0.55,-0.85,-0.80,-0.73,0.12,1.19e+02,1.32e+00,Highly soluble,-0.01,8.76e+01,9.72e-01,Very soluble,0.98,8.66e+02,9.62e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.36,0,4,0,0,2,0.85,0,0,1,1.29
Molecule 2,OC(=O)C(O)C,C3H6O3,90.08,6,0,0.67,1,3,2,19.47,57.53,n/d,-0.72,-0.55,-0.85,-0.80,-0.73,0.12,1.19e+02,1.32e+00,Highly soluble,-0.01,8.76e+01,9.72e-01,Very soluble,0.98,8.66e+02,9.62e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.36,0,4,0,0,2,0.85,0,0,1,1.29
Molecule 3,OCC(=O)O,C2H4O3,76.05,5,0,0.50,1,3,2,14.66,57.53,n/d,-1.11,-0.94,-1.37,-0.81,-1.05,0.45,2.16e+02,2.84e+00,Highly soluble,0.39,1.88e+02,2.47e+00,Highly soluble,1.04,8.44e+02,1.11e+01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.55,0,4,0,0,2,0.85,0,0,1,1.00
Molecule 4,OC(=O)CCC(=O)O,C4H6O4,118.09,8,0,0.50,3,4,2,24.89,74.60,n/d,-0.59,-0.06,-0.54,-0.63,-0.46,-0.00,1.17e+02,9.94e-01,Very soluble,-0.51,3.69e+01,3.12e-01,Very soluble,0.61,4.86e+02,4.11e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.44,0,3,0,0,2,0.85,0,0,1,1.29
Molecule 5,OC(=O)CCCC(=O)O,C5H8O4,132.11,9,0,0.60,4,4,2,29.69,74.60,n/d,-0.29,0.33,-0.13,-0.29,-0.10,-0.21,8.10e+01,6.13e-01,Very soluble,-0.82,2.01e+01,1.52e-01,Very soluble,0.19,2.06e+02,1.56e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.31,0,3,0,0,1,0.85,0,0,1,1.29
Molecule 6,OC(=O)CCCCC(=O)O,C6H10O4,146.14,10,0,0.67,5,4,2,34.50,74.60,n/d,0.08,0.72,0.25,0.08,0.28,-0.47,4.99e+01,3.42e-01,Very soluble,-1.20,9.20e+00,6.30e-02,Very soluble,-0.23,8.71e+01,5.96e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.13,0,2,0,0,1,0.85,0,0,1,1.17
Molecule 7,OCCCCCC(=O)O,C6H12O3,132.16,9,0,0.83,5,3,2,33.89,57.53,n/d,-0.41,0.62,0.39,0.43,0.26,-0.07,1.12e+02,8.49e-01,Very soluble,-0.33,6.13e+01,4.64e-01,Very soluble,-0.67,2.84e+01,2.15e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.40,0,2,0,0,1,0.85,0,0,1,1.20
Molecule 8,OCCCCCC(=O)O,C6H12O3,132.16,9,0,0.83,5,3,2,33.89,57.53,n/d,-0.41,0.62,0.39,0.43,0.26,-0.07,1.12e+02,8.49e-01,Very soluble,-0.33,6.13e+01,4.64e-01,Very soluble,-0.67,2.84e+01,2.15e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.40,0,2,0,0,1,0.85,0,0,1,1.20
Molecule 9,O=C1CCCCCO1,C6H10O2,114.14,8,0,0.83,0,2,0,30.13,26.30,n/d,0.01,1.10,0.88,1.87,0.97,-0.55,3.19e+01,2.79e-01,Very soluble,-0.11,8.78e+01,7.69e-01,Very soluble,-1.12,8.68e+00,7.60e-02,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.99,0,3,0,0,1,0.55,0,0,1,1.51
Molecule 10,OCC1OC(O)C(C(C1O)O)N,C6H13NO5,179.17,12,0,1.00,1,6,5,37.28,116.17,n/d,-3.50,-3.25,-2.75,-2.54,-3.01,1.32,3.74e+03,2.09e+01,Highly soluble,1.64,7.84e+03,4.38e+01,Highly soluble,2.40,4.49e+04,2.51e+02,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-9.88,0,2,0,0,2,0.55,0,0,1,3.94
