grupo,nombre_entrada,iupac_name,smiles_pubchem,cid,status
monomeros_degradacion,L-Lactic acid,(2S)-2-hydroxypropanoic acid,CC(C(=O)O)O,107689,ok
monomeros_degradacion,D-Lactic acid,(2R)-2-hydroxypropanoic acid,CC(C(=O)O)O,61503,ok
monomeros_degradacion,Glycolic acid,2-hydroxyacetic acid,C(C(=O)O)O,757,ok
monomeros_degradacion,Succinic acid,butanedioic acid,C(CC(=O)O)C(=O)O,1110,ok
monomeros_degradacion,Glutaric acid,pentanedioic acid,C(CC(=O)O)CC(=O)O,743,ok
monomeros_degradacion,Adipic acid,hexanedioic acid,C(CCC(=O)O)CC(=O)O,196,ok
monomeros_degradacion,6-Hydroxyhexanoic acid,6-hydroxyhexanoic acid,C(CCC(=O)O)CCO,14490,ok
monomeros_degradacion,6-Hydroxycaproic acid,6-hydroxyhexanoic acid,C(CCC(=O)O)CCO,14490,ok
monomeros_degradacion,epsilon-Caprolactone,oxepan-2-one,C1CCC(=O)OCC1,10401,ok
monomeros_degradacion,Glucosamine,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",C(C1C(C(C(C(O1)O)N)O)O)O,439213,ok
monomeros_degradacion,N-Acetylglucosamine,"N-[(2R,3R,4S,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-yl]acetamide",CC(=O)NC(C=O)C(C(C(CO)O)O)O,1738118,ok
monomeros_degradacion,Ethylenediamine,"ethane-1,2-diamine",C(CN)N,3301,ok
monomeros_degradacion,Methyl acrylate,methyl prop-2-enoate,COC(=O)C=C,7294,ok
monomeros_degradacion,L-Lactide,"(3S,6S)-3,6-dimethyl-1,4-dioxane-2,5-dione",CC1C(=O)OC(C(=O)O1)C,107983,ok
monomeros_degradacion,Glycolide,"1,4-dioxane-2,5-dione",C1C(=O)OCC(=O)O1,65432,ok
oligomeros_unidades,Diethylenetriamine,"N'-(2-aminoethyl)ethane-1,2-diamine",C(CNCCN)N,8111,ok
oligomeros_unidades,Triethylenetetramine,"N'-[2-(2-aminoethylamino)ethyl]ethane-1,2-diamine",C(CNCCNCCN)N,5565,ok
oligomeros_unidades,Tetraethylenepentamine,"N'-[2-[2-(2-aminoethylamino)ethylamino]ethyl]ethane-1,2-diamine",C(CNCCNCCNCCN)N,8197,ok
oligomeros_unidades,Pentaethylenehexamine,"N'-[2-[2-[2-(2-aminoethylamino)ethylamino]ethylamino]ethyl]ethane-1,2-diamine",C(CNCCNCCNCCNCCN)N,19990,ok
oligomeros_unidades,Tris(2-aminoethyl)amine,"N',N'-bis(2-aminoethyl)ethane-1,2-diamine",C(CN(CCN)CCN)N,77731,ok
oligomeros_unidades,"N,N'-Bis(2-aminoethyl)ethylenediamine","N'-[2-(2-aminoethylamino)ethyl]ethane-1,2-diamine",C(CNCCNCCN)N,5565,ok
oligomeros_unidades,Methylamine,methanamine,CN,6329,ok
oligomeros_unidades,Ammonia,azane,N,222,ok
oligomeros_unidades,2-Aminoethanol,2-aminoethanol,C(CO)N,700,ok
oligomeros_unidades,2-(2-Aminoethoxy)ethanol,2-(2-aminoethoxy)ethanol,C(COCCO)N,13578,ok
oligomeros_unidades,Bis(2-aminoethyl) ether,2-(2-aminoethoxy)ethanamine,C(COCCN)N,75982,ok
oligomeros_unidades,Methyl 3-aminopropionate,methyl 3-aminopropanoate,COC(=O)CCN,192794,ok
oligomeros_unidades,Ethyl acrylate,ethyl prop-2-enoate,CCOC(=O)C=C,8821,ok
oligomeros_unidades,Methyl methacrylate,methyl 2-methylprop-2-enoate,CC(=C)C(=O)OC,6658,ok
oligomeros_unidades,Acrylic acid,prop-2-enoic acid,C=CC(=O)O,6581,ok
oligomeros_unidades,Lactic acid dimer,2-(2-hydroxypropanoyloxy)propanoic acid,CC(C(=O)OC(C)C(=O)O)O,69241,ok
