nombre,sigma_-0.0495,sigma_-0.0485,sigma_-0.0475,sigma_-0.0465,sigma_-0.0455,sigma_-0.0445,sigma_-0.0435,sigma_-0.0425,sigma_-0.0415,sigma_-0.0405,sigma_-0.0395,sigma_-0.0385,sigma_-0.0375,sigma_-0.0365,sigma_-0.0355,sigma_-0.0345,sigma_-0.0335,sigma_-0.0325,sigma_-0.0315,sigma_-0.0305,sigma_-0.0295,sigma_-0.0285,sigma_-0.0275,sigma_-0.0265,sigma_-0.0255,sigma_-0.0245,sigma_-0.0235,sigma_-0.0225,sigma_-0.0215,sigma_-0.0205,sigma_-0.0195,sigma_-0.0185,sigma_-0.0175,sigma_-0.0165,sigma_-0.0155,sigma_-0.0145,sigma_-0.0135,sigma_-0.0125,sigma_-0.0115,sigma_-0.0105,sigma_-0.0095,sigma_-0.0085,sigma_-0.0075,sigma_-0.0065,sigma_-0.0055,sigma_-0.0045,sigma_-0.0035,sigma_-0.0025,sigma_-0.0015,sigma_-0.0005,sigma_0.0005,sigma_0.0015,sigma_0.0025,sigma_0.0035,sigma_0.0045,sigma_0.0055,sigma_0.0065,sigma_0.0075,sigma_0.0085,sigma_0.0095,sigma_0.0105,sigma_0.0115,sigma_0.0125,sigma_0.0135,sigma_0.0145,sigma_0.0155,sigma_0.0165,sigma_0.0175,sigma_0.0185,sigma_0.0195,sigma_0.0205,sigma_0.0215,sigma_0.0225,sigma_0.0235,sigma_0.0245,sigma_0.0255,sigma_0.0265,sigma_0.0275,sigma_0.0285,sigma_0.0295,sigma_0.0305,sigma_0.0315,sigma_0.0325,sigma_0.0335,sigma_0.0345,sigma_0.0355,sigma_0.0365,sigma_0.0375,sigma_0.0385,sigma_0.0395,sigma_0.0405,sigma_0.0415,sigma_0.0425,sigma_0.0435,sigma_0.0445,sigma_0.0455,sigma_0.0465,sigma_0.0475,sigma_0.0485,sigma_0.0495
2-(2-Aminoethoxy)ethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005481,0.0,0.0,0.0,0.0,0.0,0.008807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006943,0.0,0.00672,0.0,0.0,0.00519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Aminoethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007559,0.0,0.008808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22-Iminodiethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004886,0.0,0.0,0.0,0.004531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003554,0.0,0.0,0.0,0.0,0.0,0.004738,0.0,0.0,0.0,0.004749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Aminobenzoic_acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004113,0.0,0.0,0.001855,0.0,0.0,0.0,0.003355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002812,0.0,0.0,0.0,0.0,0.0,0.00387,0.0,0.0,0.0,0.0,0.0,0.004207,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004349,0.0,0.0,0.0
5-Fluorouracil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004772,0.0,0.0,0.0,0.005433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009825,0.0,0.0,0.0,0.0,0.0,0.005188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005642,0.0
6-Hydroxyhexanoic_acid,0.00559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acrylic_acid,0.0,0.00761,0.0,0.0,0.0,0.0,0.011461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011975,0.0,0.0,0.0,0.008707,0.0,0.0,0.0,0.0,0.0,0.011132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adipic_acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00379,0.0,0.0,0.003622,0.0,0.0,0.0,0.002999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003669,0.0,0.0,0.0,0.0,0.0,0.0,0.003656,0.0,0.0,0.0,0.004354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003923,0.0,0.0,0.0,0.0,0.00385,0.0,0.0,0.0,0.0,0.00262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013038,0.0,0.0,0.027636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arginine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003892,0.0,0.0,0.0,0.002411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000796,0.007108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003079,0.0,0.0,0.0,0.0,0.0,0.0,0.002563,0.0,0.006028,0.0,0.0,0.0,0.0,0.0,0.0
