proteina,modelo,R2,R2_std,MAE,RMSE
dG_P-gp_MDR1,Random Forest,0.8166,0.1668,0.4269,0.5775
dG_P-gp_MDR1,GradientBoosting,0.7456,0.3278,0.4036,0.5773
dG_P-gp_MDR1,SVR,0.7795,0.1295,0.4447,0.7143
dG_CYP3A4,Random Forest,0.6159,0.433,0.5631,0.9743
dG_CYP3A4,GradientBoosting,0.6114,0.4826,0.4871,0.9453
dG_CYP3A4,SVR,0.6118,0.3794,0.4934,0.9824
dG_TfR1,Random Forest,0.749,0.2946,0.3772,0.5097
dG_TfR1,GradientBoosting,0.7418,0.3155,0.3671,0.4973
dG_TfR1,SVR,0.6588,0.2251,0.4242,0.7299
dG_FRalpha,Random Forest,0.5313,0.5228,0.5782,0.8159
dG_FRalpha,GradientBoosting,0.5152,0.6295,0.5123,0.771
dG_FRalpha,SVR,0.5345,0.2433,0.6023,0.9923
dG_Lisozima,Random Forest,0.7172,0.2992,0.287,0.3656
dG_Lisozima,GradientBoosting,0.6662,0.3762,0.2895,0.3718
dG_Lisozima,SVR,0.6893,0.2159,0.2856,0.4522
dG_HSA,Random Forest,0.5701,0.6238,0.4102,0.5269
dG_HSA,GradientBoosting,0.5864,0.6854,0.3467,0.4496
dG_HSA,SVR,0.6485,0.2376,0.4175,0.6788
