nombre,grupo,dG_P-gp_MDR1,dG_CYP3A4,dG_TfR1,dG_FRalpha,dG_Lisozima,dG_HSA,score_targeting,score_eflujo,score_transporte,score_biocompat,ITI_score,perfil
Ammonia,oligomeros_unidades,-1.5,-1.577,-1.564,-1.775,-1.782,-1.03,1.0,0.9270779952854361,1.0,1.0,100.0,Favorable
Methylamine,oligomeros_unidades,-1.828,-2.176,-2.12,-2.472,-2.158,-1.568,0.9159691303489793,0.8776755715968293,0.9137958660471078,0.9040326697294538,90.71,Favorable
2-Aminoethanol,oligomeros_unidades,-2.818,-3.052,-3.628,-3.922,-2.621,-2.35,0.7151277937508647,0.7763229925071329,0.7884954334241306,0.7858601327207759,74.03,Favorable
Methyl acrylate,monomeros_degradacion,-3.886,-3.744,-3.431,-3.854,-2.369,-3.288,0.7339020199491413,0.6799510411660823,0.63819900656946,0.8501786625829505,73.65,Favorable
Ethylenediamine,monomeros_degradacion,-2.873,-3.045,-3.607,-3.92,-2.662,-2.414,0.7168065054232351,0.7735449464650994,0.7782406665598461,0.7753956100051047,73.54,Favorable
Acrylic acid,oligomeros_unidades,-3.601,-3.702,-3.936,-4.126,-2.713,-3.096,0.6797711842033007,0.6983574769020189,0.6689633071623138,0.762378764675855,68.89,Favorable
Ethyl acrylate,oligomeros_unidades,-4.317,-4.273,-3.754,-4.46,-2.573,-3.537,0.6727260830282582,0.6282614843070554,0.5983015542381029,0.798111281265952,68.5,Favorable
Glycolic acid,monomeros_degradacion,-3.28,-3.392,-4.193,-4.457,-2.751,-2.708,0.6403871346826133,0.7325507961404412,0.731132831277039,0.7526799387442573,67.88,Favorable
Methyl 3-aminopropionate,oligomeros_unidades,-3.711,-3.607,-3.871,-4.443,-2.563,-3.378,0.6651030000756788,0.6969522508628427,0.6237782406665598,0.8006636038795304,67.6,Favorable
Methyl methacrylate,oligomeros_unidades,-4.529,-4.248,-3.871,-4.464,-2.52,-3.984,0.6638122809607433,0.617451820775587,0.5266784169203653,0.8116385911179174,66.12,Favorable
Diethylenetriamine,oligomeros_unidades,-3.65,-3.946,-4.272,-4.554,-2.997,-2.959,0.6285725227065896,0.6830590629588845,0.6909149174811728,0.6898928024502298,65.12,Moderado
2-(2-Aminoethoxy)ethanol,oligomeros_unidades,-3.559,-3.761,-3.862,-4.085,-3.356,-3.121,0.6877734532913115,0.6977293527575801,0.6649575388559527,0.5982644206227667,64.65,Moderado
Bis(2-aminoethyl) ether,oligomeros_unidades,-3.625,-3.893,-3.839,-4.313,-3.301,-3.124,0.6754638876136627,0.6872008630293291,0.6644768466591893,0.6123021949974476,64.56,Moderado
Glycolide,monomeros_degradacion,-3.674,-4.27,-4.24,-4.425,-2.706,-3.854,0.6388719474295766,0.6650868295310037,0.5475084121134434,0.7641653905053599,63.15,Moderado
D-Lactic acid,monomeros_degradacion,-3.755,-3.908,-4.616,-4.899,-2.762,-3.187,0.5818825944575277,0.679018017370407,0.6543823105271591,0.7498723838693211,63.01,Moderado
Diglycolic acid,oligomeros_unidades,-3.841,-4.408,-4.317,-4.624,-2.857,-3.577,0.6209362984231406,0.6484906309905354,0.591892324947925,0.7256253190403267,62.97,Moderado
Triethylene glycol,ligandos_targeting,-3.918,-4.507,-3.896,-4.746,-3.115,-3.613,0.6446276408906854,0.6390258822639834,0.586124018586765,0.6597753956100051,62.45,Moderado
L-Lactic acid,monomeros_degradacion,-3.782,-3.911,-4.621,-4.892,-2.895,-3.184,0.5819424089143211,0.6773244161866094,0.6548630027239224,0.7159264931087289,62.12,Moderado
epsilon-Caprolactone,monomeros_degradacion,-4.188,-5.055,-4.177,-5.397,-2.844,-4.309,0.5837974493796937,0.5955448258426309,0.4746034289376702,0.7289433384379786,58.03,Moderado
Succinic acid,monomeros_degradacion,-4.265,-4.53,-4.659,-5.019,-3.14,-3.991,0.5713213995235061,0.6180571192396824,0.5255568017945842,0.6533945890760592,56.54,Moderado
Tris(2-aminoethyl)amine,oligomeros_unidades,-4.134,-4.676,-4.308,-4.224,-4.153,-3.485,0.6461881898686441,0.6180465101206494,0.6066335523153341,0.3948443083205719,56.33,Moderado
Glutaric acid,monomeros_degradacion,-4.595,-5.012,-4.548,-5.214,-3.322,-4.049,0.5675595911088105,0.5745363268452248,0.5162634193238262,0.6069423175089331,55.62,Moderado
