feature,shap_mean_abs
BertzCT,0.5525806008922316
NumBonds,0.16156802766498468
MW,0.14070579423441104
ExactMW,0.13746580049065524
Chi0v,0.06849899492419867
LabuteASA,0.06223755521236631
MR,0.05731568642231993
NumRings,0.041832547462662587
NumStereocenters,0.03517879546298191
NumHetAt,0.030599131030534157
NumAtoms,0.02864056832671352
Morgan_1873_x,0.026027012967176067
NumHeavyAt,0.023390599341836793
Morgan_1060_x,0.023298939515900008
Morgan_1060_y,0.022197498427369903
Morgan_1873_y,0.02193253003323888
Kappa1,0.0205299270893301
TPSA,0.019145670053210127
Chi1v,0.017909488049260913
MACCS_101_x,0.01717927737857942
